text,font_size,font_name,is_bold,is_italic,x0,y0,x1,y1,page,label
Parsippany -Troy Hills STEM Pathways,28.00721549987793,Calibri-Bold,1,0,125.8207015991211,37.369590759277344,562.171142578125,65.37680053710938,1,Title
Mission Statement:    To provide PTHSD high school students with the opportunity to,14.005849838256836,Sniglet-Regular,0,0,80.32749938964844,88.69420623779297,201.2986602783203,106.1314926147461,1,Body
"concentrate their studies, beyond those required in high school, in the areas of science,",12.004799842834473,Calibri,0,0,80.3275146484375,108.7464599609375,507.51806640625,120.75125885009766,1,Body
"technology, engineering, and mathematics, and expose students to relevant real world",12.004799842834473,Calibri,0,0,80.3275146484375,123.00213623046876,503.0416259765625,135.00694274902344,1,Body
"experiences through project work, conferences and presentations to enhance their high school",12.004799842834473,Calibri,0,0,80.3275146484375,137.2578125,543.8038330078125,149.2626190185547,1,Body
experience.,12.004799842834473,Calibri,0,0,80.3275146484375,151.51348876953125,139.548095703125,163.51829528808594,1,Body
PATHWAY OPTIONS,15.308159828186035,Sniglet-Regular,0,0,240.1786956787109,438.1753845214844,365.1392517089844,457.2340698242188,1,H1
REGULAR PATHWAY,15.310199737548828,Calibri-Bold,1,0,117.1802978515625,467.7545776367188,242.10435485839844,483.0647583007813,1,Title
●,11.007583618164062,ArialMT,0,0,74.78160095214844,501.1643371582031,81.43022155761719,513.4618530273438,1,Body
4 credits of Math,11.007583618164062,ArialMT,0,0,99.43699645996094,501.1643371582031,180.74069213867188,513.4618530273438,1,Body
●,11.007583618164062,ArialMT,0,0,74.78157043457031,514.67333984375,81.43019104003906,526.9708251953125,1,Body
4 credits of Science,11.007583618164062,ArialMT,0,0,99.43699645996094,514.67333984375,195.42483520507807,526.9708251953125,1,Body
●,11.007583618164062,ArialMT,0,0,74.78157043457031,528.182373046875,81.43019104003906,540.4798583984375,1,Body
4 credits of STEM-designated electives,11.007583618164062,ArialMT,0,0,99.43699645996094,528.182373046875,290.1874694824219,540.4798583984375,1,Body
●,11.007583618164062,ArialMT,0,0,74.78157043457031,541.69140625,81.43019104003906,553.9888916015625,1,Body
Maintain an overall 2.85 GPA,11.007583618164062,ArialMT,0,0,99.43699645996094,541.69140625,241.698974609375,553.9888916015625,1,Body
●,11.007583618164062,ArialMT,0,0,74.78157043457031,555.2003784179688,81.43019104003906,567.4978637695312,1,Body
Participate in a minimum of 3 STEM,11.007583618164062,ArialMT,0,0,99.43699645996094,555.2003784179688,277.91217041015625,567.4978637695312,1,Body
presentations/conferences each year,11.007583618164062,ArialMT,0,0,99.437744140625,568.7093505859375,282.92138671875,581.0068359375,1,Body
with a required minimum total of 12,11.007583618164062,ArialMT,0,0,99.437744140625,582.2183837890625,273.67498779296875,594.515869140625,1,Body
presentations/conferences throughout,11.007583618164062,ArialMT,0,0,99.437744140625,595.7274169921875,287.2033386230469,608.02490234375,1,Body
the 4 years . *,11.007583618164062,ArialMT,0,0,99.437744140625,609.2363891601562,153.8592529296875,621.5338745117188,1,Body
●,11.007583618164062,ArialMT,0,0,74.78231048583984,622.745361328125,81.4309310913086,635.0428466796875,1,Body
Join and actively participate in a,11.007583618164062,ArialMT,0,0,99.43773651123048,622.745361328125,258.41851806640625,635.0428466796875,1,Body
STEM-related extracurricular activity or,11.007583618164062,ArialMT,0,0,99.43848419189452,636.25439453125,292.6087951660156,648.5518798828125,1,Body
club every year of attendance. -,11.007583618164062,ArialMT,0,0,99.43848419189452,649.7633666992188,256.5810241699219,662.0608520507812,1,Body
DISTINCTION PATHWAY,15.310199737548828,Calibri-Bold,1,0,351.7226867675781,467.7545776367188,499.5048828125,483.0647583007813,1,Title
●,11.007583618164062,ArialMT,0,0,320.7744140625,483.1530151367188,327.42303466796875,495.4505615234375,1,Body
4 credits of Math - At least one math,11.007583618164062,ArialMT,0,0,345.4298095703125,483.1530151367188,524.5322875976562,495.4505615234375,1,Body
course should be an AP Math class.,11.007583618164062,ArialMT,0,0,345.4305725097656,496.6620178222656,520.1190185546875,508.9595642089844,1,Body
●,11.007583618164062,ArialMT,0,0,320.775146484375,510.1709899902344,327.4237670898437,522.468505859375,1,Body
4 credits of Science- At least one,11.007583618164062,ArialMT,0,0,345.4305725097656,510.1709899902344,508.66009521484375,522.468505859375,1,Body
science course should be an AP,11.007583618164062,ArialMT,0,0,345.43133544921875,523.6800537109375,504.8521118164063,535.9775390625,1,Body
Science class.,11.007583618164062,ArialMT,0,0,345.43133544921875,537.1890869140625,415.75689697265625,549.486572265625,1,Body
●,11.007583618164062,ArialMT,0,0,320.7759094238281,550.6980590820312,327.4245300292969,562.9955444335938,1,Body
4 credits of STEM-designated electives,11.007583618164062,ArialMT,0,0,345.43133544921875,550.6980590820312,539.2399291992188,562.9955444335938,1,Body
- One must be a Computer,11.007583618164062,ArialMT,0,0,345.4320983886719,564.20703125,478.7099914550781,576.5045166015625,1,Body
Science/Technology Class,11.007583618164062,ArialMT,0,0,345.4320983886719,577.716064453125,473.868408203125,590.0135498046875,1,Body
●,11.007583618164062,ArialMT,0,0,320.7766418457031,591.22509765625,327.4252624511719,603.5225830078125,1,Body
Maintain an overall 3.5 GPA,11.007583618164062,ArialMT,0,0,345.4320678710937,591.22509765625,484.01568603515625,603.5225830078125,1,Body
●,11.007583618164062,ArialMT,0,0,320.7766418457031,604.7340698242188,327.4252624511719,617.0315551757812,1,Body
Participate in a minimum of 3 STEM,11.007583618164062,ArialMT,0,0,345.4320678710937,604.7340698242188,523.9072265625,617.0315551757812,1,Body
presentations/conferences a year with a,11.007583618164062,ArialMT,0,0,345.4328308105469,618.2430419921875,542.950927734375,630.54052734375,1,Body
required minimum total of 12,11.007583618164062,ArialMT,0,0,345.4328308105469,631.7520751953125,487.8910827636719,644.049560546875,1,Body
presentations/conferences throughout,11.007583618164062,ArialMT,0,0,345.4328308105469,645.2611083984375,533.1982421875,657.55859375,1,Body
the 4 years.,11.007583618164062,ArialMT,0,0,345.4328308105469,658.7700805664062,402.91253662109375,671.0675659179688,1,Body
●,11.007583618164062,ArialMT,0,0,320.77740478515625,672.279052734375,327.426025390625,684.5765380859375,1,Body
Join and actively participate in a,11.007583618164062,ArialMT,0,0,345.4328308105469,672.279052734375,504.4134521484375,684.5765380859375,1,Body
STEM-related extracurricular activity or,11.007583618164062,ArialMT,0,0,345.43359375,685.7880859375,538.603759765625,698.0855712890625,1,Body
club every year of attendance.,11.007583618164062,ArialMT,0,0,345.43359375,699.297119140625,495.86126708984375,711.5946044921875,1,Body
●,11.007583618164062,ArialMT,0,0,320.7781677246094,712.8060913085938,327.4267883300781,725.1035766601562,1,Body
Either participate in an internship or,11.007583618164062,ArialMT,0,0,345.43359375,712.8060913085938,521.5200805664062,725.1035766601562,1,Body
design and implement a community,11.007583618164062,ArialMT,0,0,345.4343566894531,726.3150634765625,521.5537719726562,738.612548828125,1,Body
impact project.,11.007583618164062,ArialMT,0,0,345.4343566894531,739.8240966796875,416.97076416015625,752.12158203125,1,Body
Goals:,14.011449813842772,Sniglet-Regular,0,0,45.41230010986328,182.6382598876953,82.10828399658203,200.08251953125,1,Body
"•  Inspire keen interest in mathematics, science, engineering, and",11.508949279785156,ArialMT,0,0,41.384498596191406,209.4823760986328,45.41375350952149,222.34002685546875,1,Body
"technology, develop strong scholarship in the subject and",11.508949279785156,Calibri,0,0,45.41211700439453,224.78021240234372,315.1368408203125,236.28916931152344,1,Body
promote the enjoyment of these studies in high school.,11.508949279785156,Calibri,0,0,45.41211700439453,238.291015625,303.2982788085937,249.7999725341797,1,Body
•  Expose students to potential career opportunities in the field.,11.508949279785156,ArialMT,0,0,41.384498596191406,250.0128326416016,45.41375350952149,262.8704833984375,1,Body
•  Encourage students to pursue higher education and major in,11.508949279785156,ArialMT,0,0,41.3843994140625,263.5236511230469,45.41365432739258,276.3812866210937,1,Body
STEM careers.,11.508949279785156,Calibri,0,0,45.41211700439453,278.82147216796875,111.06439971923828,290.3304138183594,1,Body
• Promote interactions with STEM professionals to learn about,11.508949279785156,Calibri,0,0,39.682037353515625,292.332275390625,334.10479736328125,303.8412170410156,1,Body
future opportunities.,11.508949279785156,Calibri,0,0,45.41211700439453,305.84307861328125,143.41604614257812,317.3520202636719,1,Body
• Support field experiences connected to the world outside of,11.508949279785156,Calibri,0,0,39.68218994140625,319.3538818359375,330.7444763183594,330.8628234863281,1,Body
the school building.,11.508949279785156,Calibri,0,0,45.41226959228516,332.8646850585937,136.77540588378906,344.3736267089844,1,Body
"• Signal to employers, universities, training programs, and",11.508949279785156,Calibri,0,0,39.68218994140625,346.37548828125,311.8006896972656,357.8844299316406,1,Body
military that a student has completed a comprehensive course,11.508949279785156,Calibri,0,0,45.41226959228516,359.88629150390625,338.53485107421875,371.3952331542969,1,Body
of study in a specialized area.,11.508949279785156,Calibri,0,0,45.41226959228516,373.3970947265625,181.78689575195312,384.9060363769531,1,Body
"• Cultivate transferable work habits such as perseverance, goal",11.508949279785156,Calibri,0,0,39.68218994140625,386.9078979492188,334.5308837890625,398.4168395996094,1,Body
"setting, and self-direction.",11.508949279785156,Calibri,0,0,45.41226959228516,400.418701171875,167.1704864501953,411.9276428222656,1,Body
