text,font_size,font_name,is_bold,is_italic,x0,y0,x1,y1,page
ADDRESS:,12.401399612426758,Helvetica,0,0,32.648799896240234,444.2804260253906,104.44306945800781,461.3222961425781,1
TOPJUMP,12.413744926452637,Helvetica,0,0,131.43539428710938,458.4438171386719,198.60169982910156,475.4856872558594,1
3735  PARKWAY,12.401350021362305,Helvetica,0,0,114.80590057373047,472.3673400878906,145.9735107421875,489.4092102050781,1
"PIGEON FORGE, TN 37863",12.401350021362305,Helvetica,0,0,81.07898712158203,486.2960205078125,249.18655395507812,503.337890625,1
(NEAR DIXIE STAMPEDE  ON  THE PARKWAY),9.401000022888184,Helvetica,0,0,58.387901306152344,500.79937744140625,177.05349731445312,513.7181396484375,1
RSVP:  ----------------,12.401350021362305,Helvetica-Bold,1,0,29.48900032043457,523.3318481445312,71.26945495605469,540.410888671875,1
CLOSED TOED SHOES  ARE  REQUIRED FOR CLIMBING,7.20074987411499,Helvetica,0,0,62.29779815673828,555.747802734375,147.5890350341797,565.64306640625,1
"PARENTS  OR  GUARDIANS NOT ATTENDING THE PARTY,",7.20074987411499,Helvetica,0,0,59.60572814941406,571.8294677734375,97.16368103027344,581.7247314453125,1
PLEASE VISIT  TOPJUMP.COM  TO  FILL  OUT  WAIVER,7.20074987411499,Helvetica,0,0,65.11520385742188,581.1941528320312,119.01214599609375,591.0894165039062,1
SO YOUR CHILD CAN ATTEND.,7.20074987411499,Helvetica,0,0,106.7061996459961,590.0763549804688,221.58604431152344,599.9716186523438,1
HOPE  To  SEE  Y ou  T HERE !,22.700607299804688,Helvetica-Bold,1,0,33.418800354003906,598.6004028320312,91.41678619384766,634.962158203125,1
WWW.TOPJUMP.COM,18.025842666625977,Helvetica,0,0,93.78669738769531,624.4996948242188,236.11007690429688,656.6593017578125,1
